time,R,F,T,I
7.085,40.54529139587246,24.610250301236196,18.683248708438747,7.761103644170548
7.09,40.546984276732786,24.60817926035685,18.680680552260178,7.763168783233335
7.095,40.54867315369045,24.606115669311194,18.67811459678725,7.7652343228548
7.1000000000000005,40.55035802734256,24.604059504673938,18.675550844498026,7.767300258394375
7.105,40.552038898308176,24.60201074307127,18.672989297851565,7.76936658522023
7.11,40.55371576722831,24.599969361180868,18.670429959287898,7.771433298709274
7.115,40.55538863476592,24.59793533573189,18.667872831228042,7.77350039424715
7.12,40.5570575016059,24.595908643504977,18.665317916074002,7.775567867228238
7.125,40.55872236845511,24.593889261332254,18.662765216208765,7.77763571305566
7.13,40.56038323604235,24.591877166097337,18.66021473399629,7.779703927141268
7.135,40.56204010511836,24.589872334735315,18.657666471781543,7.781772504905656
7.140000000000001,40.56369297645586,24.587874744232764,18.655120431890445,7.783841441778154
7.1450000000000005,40.56534185084948,24.585884371627746,18.652576616629926,7.785910733196828
7.15,40.56698672911581,24.583901194009805,18.65003502828788,7.787980374608482
7.155,40.5686276120934,24.58192518851997,18.647495669133196,7.790050361468656
7.16,40.57026450064274,24.579956332350758,18.64495854141574,7.792120689241628
7.165,40.57189739564627,24.57799460274616,18.642423647366364,7.794191353400413
7.17,40.57352629800836,24.576039977001653,18.639890989196907,7.796262349426763
7.175,40.57515120865537,24.57409243246421,18.637360569100185,7.798333672811166
7.18,40.576772128535566,24.572151946532266,18.63483238925,7.8004053190528495
7.1850000000000005,40.57838905861919,24.570218496655755,18.632306451801135,7.802477283659775
7.19,40.58000199989841,24.5682920603361,18.629782758889363,7.804549562148644
7.195,40.58161095338736,24.56637261512619,18.62726131263143,7.806622150044892
7.2,40.583215920122115,24.564460138630412,18.624742115125077,7.808695042882695
7.205,40.58481690116071,24.56255460850463,18.62222516844902,7.810768236204962
7.21,40.58641389758309,24.56065600245619,18.61971047466296,7.812841725563342
7.215,40.58800691049121,24.558764298243933,18.617198035807583,7.814915506518221
7.22,40.589595941008916,24.556879473678173,18.61468785390456,7.816989574638721
7.2250000000000005,40.59118099028203,24.555001506620705,18.61217993095654,7.819063925502702
7.23,40.59276205947832,24.553130374984818,18.609674268947156,7.821138554696759
7.235,40.5943391497875,24.55126605673528,18.60717086984103,7.823213457816227
7.24,40.59591226242123,24.549408529888343,18.60466973558377,7.825288630465175
7.245,40.59748139861312,24.547557772511738,18.602170868101947,7.827364068256411
7.25,40.59904655961873,24.54571376272469,18.59967426930314,7.829439766811481
7.255,40.60060774671556,24.543876478697904,18.5971799410759,7.831515721760665
7.26,40.60216496120307,24.54204589865356,18.59468788528976,7.833591928742983
7.265000000000001,40.60371820440267,24.540222000865327,18.592198103795237,7.83566838340619
7.2700000000000005,40.6052674776577,24.53840476365837,18.589710598423835,7.837745081406779
7.275,40.606812782333456,24.536594165409316,18.58722537098804,7.839822018409979
7.28,40.6083541198172,24.534790184546292,18.584742423281323,7.841899190089759
7.285,40.60989149151812,24.532992799548904,18.58226175707813,7.843976592128821
7.29,40.61142489886736,24.531201988948236,18.5797833741339,7.846054220218607
7.295,40.612954343318016,24.529417731326866,18.577307276185053,7.848132070059295
7.3,40.614479826345125,24.527640005318847,18.574833464948984,7.8502101373598
7.305,40.616001349445675,24.52586878960972,18.572361942124086,7.852288417837774
7.3100000000000005,40.6175189141386,24.524104062936512,18.569892709389727,7.854366907219607
7.315,40.6190325219648,24.52234580408773,18.567425768406252,7.856445601240424
7.32,40.620542174487085,24.52059399190336,18.564961120815006,7.8585244956440885
7.325,40.622047873290256,24.518848605274886,18.562498768238303,7.860603586183202
7.33,40.62354961998104,24.51710962314526,18.560038712279443,7.862682868619101
7.335,40.6250474161881,24.515377024508926,18.557580954522713,7.86476233872186
7.34,40.62654126356209,24.51365078841181,18.555125496533382,7.866841992270291
7.345,40.62803116377556,24.511930893951323,18.5526723398577,7.868921825051943
7.3500000000000005,40.62951711852304,24.51021732027636,18.55022148602291,7.8710018328631
7.355,40.630999129521,24.508510046587297,18.54777293653722,7.873082011508785
7.36,40.632477198507864,24.506809052135996,18.54532669288984,7.875162356802759
7.365,40.633951327244,24.5051143162258,18.542882756550952,7.877242864567518
7.37,40.635421517511716,24.50342581821154,18.540441128971725,7.879323530634296
7.375,40.636887771115276,24.50174353749953,18.538001811584312,7.881404350843063
7.38,40.6383500898809,24.50006745354756,18.535564805801847,7.883485321042528
7.385,40.63980847565675,24.498397545864915,18.53313011301845,7.8855664370901355
7.390000000000001,40.64126293031292,24.49673379401236,18.530697734609223,7.887647694852068
7.3950000000000005,40.64271345574148,24.495076177602137,18.52826767193025,7.889729090203243
7.4,40.64416005385643,24.49342467629798,18.525839926318604,7.891810619027319
7.405,40.64560272659373,24.491779269815105,18.52341449909233,7.893892277216686
7.41,40.647041475911266,24.49013993792021,18.52099139155047,7.8959740606724775
7.415,40.648476303788904,24.488506660431472,18.51857060497304,7.898055965304559
7.42,40.64990721222843,24.486879417218567,18.516152140621042,7.900137987031535
7.425,40.6513342032536,24.485258188202636,18.51373599973646,7.902220121780746
7.43,40.6527572789101,24.483642953356316,18.511322183542266,7.904302365488273
7.4350000000000005,40.65417644126558,24.482033692703723,18.50891069324241,7.9063847140989285
7.44,40.655591692409615,24.48043038632046,18.50650153002183,7.908467163566267
7.445,40.657003034453766,24.47883301433361,18.50409469504644,7.910549709852577
7.45,40.65841046953151,24.47724155692174,18.501690189463147,7.912632348928885
7.455,40.65981399979828,24.475655994314902,18.499288014399834,7.9147150767749554
7.46,40.661213627431465,24.474076306794636,18.49688817096537,7.916797889379288
7.465,40.66260935463039,24.47250247469396,18.49449066024961,7.918880782739122
7.47,40.66400118361634,24.470934478397375,18.492095483323386,7.92096375286043
7.4750000000000005,40.66538911663254,24.46937229834087,18.489702641238516,7.9230467957579265
7.48,40.66677315594418,24.467815915011915,18.487312135027807,7.925129907455059
7.485,40.66815330383836,24.466265308949463,18.48492396570504,7.927213083984012
7.49,40.66952956262417,24.464720460743955,18.482538134264985,7.92929632138571
7.495,40.67090193463263,24.46318135103731,18.480154641683395,7.9313796157098135
7.5,40.67227042221671,24.461647960522935,18.477773488917006,7.933462963014719
7.505,40.673635027751324,24.46012026994572,18.475394676903537,7.93554635936756
7.51,40.67499575363334,24.458598260102036,18.47301820656169,7.937629800844209
7.515000000000001,40.67635260228157,24.45708191183974,18.470644078791146,7.939713283529274
7.5200000000000005,40.67770557613677,24.455571206058178,18.46827229447258,7.941796803516099
7.525,40.67905467766167,24.45406612370817,18.465902854467643,7.943880356906766
7.53,40.68039990934091,24.45256664579202,18.46353575961897,7.945963939812097
7.535,40.68174127368111,24.451072753363526,18.461171010750178,7.948047548351647
7.54,40.683078773210816,24.449584427527963,18.458808608665873,7.9501311786537086
7.545,40.68441241048053,24.448101649442084,18.45644855415164,7.952214826855314
7.55,40.68574218806272,24.44662440031414,18.45409084797404,7.954298489102229
7.555,40.68706810855176,24.445152661403853,18.451735490880637,7.95638216154896
7.5600000000000005,40.68839017456402,24.443686414022434,18.44938248359996,7.9584658403587465
7.565,40.68970838873779,24.442225639532577,18.447031826841528,7.9605495217035696
7.57,40.691022753733314,24.44077031934846,18.444683521295843,7.9626332017641435
7.575,40.69233327223278,24.43932043493574,18.442337567634397,7.964716876729922
7.58,40.69363994694034,24.437875967811575,18.43999396650965,7.966800542799093
7.585,40.69494278058207,24.43643689954458,18.43765271855506,7.968884196178586
7.59,40.69624177590602,24.43500321175488,18.43531382438506,7.970967833084064
7.595,40.697536935682166,24.43357488611406,18.432977284595072,7.973051449739927
7.6000000000000005,40.69882826270244,24.432151904345204,18.430643099761493,7.975135042379315
7.605,40.70011575978074,24.43073424822288,18.428311270441714,7.977218607244101
7.61,40.70139942975288,24.42932189957313,18.425981797174103,7.979302140584898
7.615,40.70267927547665,24.42791484027349,18.42365468047801,7.981385638661056
7.62,40.70395529983177,24.42651305225297,18.421329920853772,7.98346909774066
7.625,40.70522750571992,24.42511651749208,18.41900751878271,7.985552514100535
7.63,40.70649589606471,24.423725218022785,18.416687474727123,7.98763588402624
7.635,40.70776047381173,24.422339135928567,18.414369789130298,7.989719203812072
7.640000000000001,40.70902124192849,24.420958253344367,18.412054462416503,7.991802469761067
7.6450000000000005,40.71027820340446,24.41958255245662,18.409741494990993,7.993885678184995
7.65,40.71153136125105,24.418212015503247,18.40743088724,7.995968825404365
7.655,40.712780718501634,24.416846624773648,18.40512263953075,7.998051907748423
7.66,40.71402627821152,24.415486362608704,18.402816752211436,8.000134921555151
7.665,40.71526804345797,24.41413121140079,18.40051322561125,8.002217863171271
7.67,40.716506017340194,24.412781153593752,18.39821206004036,8.004300728952236
7.675,40.71774020297934,24.41143617168293,18.395913255789917,8.006383515262241
7.68,40.718970603518535,24.410096248215144,18.39361681313206,8.00846621847422
7.6850000000000005,40.720197222122806,24.408761365788692,18.3913227323199,8.010548834969837
7.69,40.721420061979174,24.40743150705337,18.389031013587548,8.0126313611395
7.695,40.722639126296585,24.40610665471044,18.38674165715009,8.014713793382347
7.7,40.72385441830593,24.404786791512667,18.384454663203588,8.016796128106261
7.705,40.72506594126007,24.40347190026428,18.3821700319251,8.018878361727856
7.71,40.72627369843378,24.402161963821005,18.37988776347266,8.020960490672485
7.715,40.727477693123824,24.40085696509005,18.377607857985286,8.02304251137424
7.72,40.72867792864888,24.3995568870301,18.375330315582982,8.025124420275946
7.7250000000000005,40.72987440834959,24.398261712651333,18.373055136366734,8.027206213829167
7.73,40.73106713558854,24.3969714250154,18.370782320418513,8.029287888494208
7.735,40.732256113750275,24.39568600723545,18.368511867801267,8.031369440740106
7.74,40.733441346241264,24.3944054424761,18.366243778558932,8.033450867044634
7.745,40.734622836489955,24.393129713953464,18.363978052716433,8.035532163894304
7.75,40.73580058794673,24.39185880493513,18.361714690279666,8.03761332778437
7.755,40.7369746040839,24.390592698740175,18.35945369123552,8.039694355218815
7.76,40.73814488839575,24.389331378739158,18.357195055551863,8.041775242710365
7.765000000000001,40.73931144439851,24.38807482835412,18.35493878317755,8.043855986780478
7.7700000000000005,40.74047427563035,24.386823031058597,18.35268487404241,8.045936583959355
7.775,40.7416333856514,24.38557597037759,18.35043332805727,8.048017030785926
7.78,40.74278877804371,24.384333629887596,18.348184145113933,8.050097323807869
7.785,40.74394045641132,24.383095993216596,18.345937325085178,8.052177459581587
7.79,40.745088424380185,24.381863044044046,18.343692867824778,8.05425743467223
7.795,40.74623268559822,24.380634766100897,18.341450773167484,8.05633724565368
7.8,40.7473732437353,24.379411143169577,18.339211040929033,8.058416889108555
