time,D
2.185,12.582643683948593
2.19,12.582843351513562
2.195,12.583042964687769
2.2,12.583242523484055
2.205,12.583442027915261
2.21,12.583641477994222
2.215,12.583840873733779
2.22,12.584040215146764
2.225,12.58423950224601
2.23,12.58443873504435
2.235,12.58463791355461
2.24,12.58483703778962
2.245,12.585036107762205
2.25,12.585235123485191
2.255,12.585434084971396
2.2600000000000002,12.585632992233645
2.265,12.585831845284753
2.27,12.586030644137539
2.275,12.586229388804815
2.2800000000000002,12.586428079299399
2.285,12.586626715634099
2.29,12.586825297821726
2.295,12.587023825875086
2.3000000000000003,12.587222299806987
2.305,12.587420719630233
2.31,12.587619085357625
2.315,12.587817397001967
2.32,12.588015654576052
2.325,12.588213858092685
2.33,12.588412007564655
2.335,12.588610103004758
2.34,12.588808144425785
2.345,12.589006131840527
2.35,12.589204065261772
2.355,12.589401944702304
2.36,12.589599770174912
2.365,12.589797541692374
2.37,12.589995259267475
2.375,12.59019292291299
2.38,12.590390532641702
2.3850000000000002,12.590588088466381
2.39,12.590785590399806
2.395,12.590983038454743
2.4,12.591180432643968
2.4050000000000002,12.591377772980247
2.41,12.591575059476344
2.415,12.59177229214503
2.42,12.591969470999064
2.4250000000000003,12.592166596051207
2.43,12.59236366731422
2.435,12.59256068480086
2.44,12.592757648523884
2.445,12.592954558496045
2.45,12.593151414730094
2.455,12.593348217238786
2.46,12.593544966034866
2.465,12.59374166113108
2.47,12.593938302540177
2.475,12.5941348902749
2.48,12.594331424347986
2.485,12.59452790477218
2.49,12.594724331560217
2.495,12.594920704724835
2.5,12.595117024278768
2.505,12.595313290234747
2.5100000000000002,12.595509502605506
2.515,12.59570566140377
2.52,12.59590176664227
2.525,12.596097818333728
2.5300000000000002,12.596293816490872
2.535,12.596489761126422
2.54,12.596685652253097
2.545,12.596881489883616
2.5500000000000003,12.597077274030696
2.555,12.59727300470705
2.56,12.597468681925394
2.565,12.597664305698435
2.57,12.597859876038887
2.575,12.598055392959456
2.58,12.598250856472847
2.585,12.598446266591763
2.59,12.59864162332891
