time,P,Z,L,B
4.7,5.4712873228091485,38.58154072610028,33.32505645296688,36.99807303377123
4.705,5.462868296544876,38.54683061341342,33.32857961099776,37.01336344991103
4.71,5.454481368613907,38.5121492949859,33.332094711614424,37.028617480755955
4.715,5.446126412131116,38.477496860575265,33.33560177801741,37.04383514178183
4.72,5.437803300891858,38.44287339912597,33.33910083332437,37.05901644873719
4.7250000000000005,5.429511909371963,38.40827899876938,33.3425919005701,37.07416141764326
4.73,5.42125211272775,38.373713746823796,33.346075002706506,37.08927006479396
4.735,5.413023786796007,38.3391777297944,33.349550162602654,37.104342406755876
4.74,5.404826808094006,38.3046710333733,33.35301740304472,37.1193784603683
4.745,5.396661053819497,38.27019374243954,33.35647674673599,37.13437824274323
4.75,5.3885264018507115,38.235745941059044,33.35992821629693,37.14934177126531
4.755,5.380422730746357,38.20132771248467,33.36337183426509,37.164269063591924
4.76,5.372349919745622,38.166939139156185,33.36680762309518,37.1791601376531
4.765,5.364307848768174,38.132580302700276,33.370235605159,37.19401501165159
4.7700000000000005,5.356296398414158,38.09825128393052,33.37365580274554,37.20883370406281
4.775,5.348315449964202,38.06395216284746,33.37706823806086,37.223616233634885
4.78,5.340364885379412,38.02968301863848,33.38047293322818,37.23836261938862
4.785,5.332444587301369,37.99544392967794,33.38386991028784,37.2530728806175
4.79,5.3245544390521395,37.96123497352709,33.38725919119733,37.267747036887734
4.795,5.316694324634265,37.92705622693409,33.39064079783124,37.28238510803817
4.8,5.308864128730768,37.89290776583402,33.39401475198131,37.296987114180396
4.805,5.301063736705148,37.858789665348866,33.39738107535639,37.31155307569865
4.8100000000000005,5.293293034601386,37.824701999787536,33.40073978958248,37.32608301324988
4.815,5.285551909143944,37.79064484264586,33.404090916202705,37.340576947763715
4.82,5.277840247737759,37.75661826660657,33.40743447667731,37.35503490044248
4.825,5.270157938468249,37.722622343539314,33.410770492383676,37.3694568927612
4.83,5.262504870101312,37.688657144500645,33.41409898461631,37.38384294646755
4.835,5.254880932083323,37.65472273973404,33.417419974586856,37.398193083581944
4.84,5.247286014541141,37.6208191986699,33.42073348342409,37.41250732639745
4.845,5.239720008282098,37.586946589925525,33.42403953217389,37.42678569747984
4.8500000000000005,5.232182804794007,37.55310498130512,33.427338141799304,37.44102821966758
4.855,5.224674286993489,37.519294450236494,33.43062933401547,37.455234912984295
4.86,5.217194297945894,37.48551511807688,33.43391313406323,37.46940578476364
4.865,5.209742722058878,37.4517670580741,33.43718956335932,37.48354085699554
4.87,5.202319451260163,37.41805033487369,33.440458642617926,37.497640154256146
4.875,5.194924377871154,37.38436501265016,33.443720392498605,37.51170370127644
4.88,5.187557394606946,37.35071115510697,33.446974833606255,37.52573152294221
4.885,5.180218394576318,37.31708882547658,33.45022198649111,37.539723644294085
4.89,5.172907271281738,37.28349808652042,33.453461871648756,37.553680090527486
4.8950000000000005,5.165623918619357,37.24993900052885,33.45669450952012,37.56760088699267
4.9,5.1583682308790175,37.21641162932125,33.45991992049147,37.58148605919471
4.905,5.151140102744246,37.18291603424595,33.463138124894435,37.59533563279349
4.91,5.143939429292254,37.14945227618024,33.466349143005964,37.609149633603735
4.915,5.1367661059939405,37.116020415530414,33.46955299504836,37.622928087594964
4.92,5.129620028713894,37.0826205122317,33.47274970118929,37.63667102089153
4.925,5.122501093710386,37.049252625748316,33.47593928154173,37.6503784597726
4.93,5.115409197635375,37.01591681507345,33.47912175616403,37.664050430672155
4.9350000000000005,5.108344237534507,36.98261313872925,33.48229714505987,37.67768696017902
4.94,5.101306110847117,36.94934165476686,33.485465468178276,37.6912880750368
4.945,5.094294715406223,36.91610242076637,33.48862674541363,37.70485380214396
4.95,5.087309949438529,36.88289549383685,33.49178099660564,37.71838416855375
4.955,5.080351711564428,36.84972093061634,33.49492824153937,37.73187920147426
4.96,5.073419900797999,36.81657878727186,33.49806849994523,37.745338928268396
4.965,5.066514416547008,36.78346911949938,33.501201791498964,37.75876337645387
4.97,5.059635158612906,36.75039198252386,33.50432813582167,37.77215257370323
4.9750000000000005,5.052782027190831,36.71734743109921,33.50744755247979,37.785506547843845
4.98,5.04595492286961,36.68433551950836,33.51056006098511,37.79882532685789
4.985,5.0391537466317535,36.65135630156315,33.513665680794745,37.81210893888235
4.99,5.032378399853459,36.61840983060443,33.51676443131118,37.825357412209065
4.995,5.0256287843046135,36.58549615950199,33.51985633188224,37.83857077528466
