time,V,R,C,M
4.265,34.585553009700966,56.2054446646722,44.839085187188346,27.314934513047596
4.2700000000000005,34.53679051992747,56.180579116586,44.85417645772665,27.334667609692282
4.275,34.48810264658233,56.15568985008963,44.86920103654923,27.35438657084166
4.28,34.43948941159629,56.130777012050075,44.88415902792083,27.37409134863753
4.285,34.39095083614566,56.10584074907685,44.8990505363325,27.393781895354184
4.29,34.3424869406523,56.08088120752193,44.91387566650157,27.413458163398403
4.295,34.294097744783606,56.05589853347979,44.92863452337163,27.433120105309452
4.3,34.24578326745251,56.030892872787405,44.943327212112585,27.452767673759098
4.305,34.197543526817505,56.00586437102422,44.957953838120616,27.472400821551595
4.3100000000000005,34.149378540282626,55.98081317351217,44.97251450701819,27.492019501623687
4.315,34.10128832449746,55.95573942531569,44.98700932465404,27.511623667044613
4.32,34.053272895357125,55.93064327124171,45.00143839710321,27.531213271016096
4.325,34.00533226800229,55.90552485583963,45.015801830667016,27.55078826687236
4.33,33.957466456819176,55.880384323401344,45.030099731873065,27.570348608080113
4.335,33.909675475439535,55.85522181796124,45.04433220747523,27.589894248238565
4.34,33.86195933674068,55.83003748329618,45.0584993644537,27.609425141079406
4.345,33.81431805284546,55.80483146292554,45.072601310014925,27.62894124046682
4.3500000000000005,33.76675163512226,55.779603900111155,45.08663815159164,27.64844250039749
4.355,33.71926009418504,55.754354937857386,45.100609996842884,27.66792887500058
4.36,33.67184343989328,55.72908471891104,45.114516953653954,27.68740031853775
4.365,33.624501681352015,55.70379338576145,45.12835913013646,27.706856785403158
4.37,33.57723482691181,55.67848108064041,45.14213663462827,27.726298230123444
4.375,33.530042884168815,55.653147945522214,45.15584957569356,27.74572460735774
4.38,33.482925859964666,55.62779412212365,45.16949806212276,27.765135871897677
4.385,33.4358837603866,55.60241975190399,45.18308220293264,27.78453197866737
4.39,33.388916590767366,55.57702497606498,45.19660210736618,27.80391288272343
4.3950000000000005,33.34202435568527,55.55160993555088,45.21005788489272,27.82327853925496
4.4,33.295207058964166,55.52617477104843,45.22344964520782,27.84262890358355
4.405,33.24846470367344,55.50071962298685,45.236777498233366,27.86196393116328
4.41,33.20179729212805,55.475244631537855,45.25004155411752,27.881283577580735
4.415,33.15520482588846,55.449749936615646,45.26324192323472,27.900587798554977
4.42,33.10868730576072,55.424235677876915,45.2763787161857,27.91987654993756
4.425,33.0622447317964,55.398701994720845,45.28945204379746,27.93914978771254
4.43,33.01587710329261,55.3731490262891,45.30246201712331,27.95840746799646
4.4350000000000005,32.969584418792024,55.347576911465836,45.315408747442824,27.97764954703835
4.44,32.923366676082864,55.32198578887771,45.32829234626188,27.996875981219734
4.445,32.87722387219888,55.29637579689385,45.341112925312615,28.016086727054628
4.45,32.83115600341938,55.27074707362588,45.35387059655348,28.03528174118954
4.455,32.78516306526921,55.24509975692791,45.366565472169185,28.05446098040347
4.46,32.73924505251876,55.21943398439654,45.37919766457074,28.073624401607905
4.465,32.69340195918397,55.193749893370864,45.39176728639544,28.092771961846832
4.47,32.64763377852633,55.168047620932455,45.404274450506854,28.111903618296722
4.4750000000000005,32.60194050305286,55.142327303905375,45.41671926999485,28.131019328266547
4.48,32.55632212451614,55.116589078856194,45.429101858175564,28.15011904919775
4.485,32.5107786339143,55.090833082093944,45.44142232859143,28.16920273866429
4.49,32.46531002149099,55.06505944967016,45.45368079501116,28.188270354372598
4.495,32.419916276735435,55.03926831737886,45.465877371429755,28.207321854161613
4.5,32.374597388382384,55.013459820756566,45.4780121720685,28.226357196002756
4.505,32.32935334441214,54.987634095082264,45.49008531137497,28.245376337999936
4.51,32.28418413205055,54.96179127537744,45.502096904023006,28.264379238389566
4.515,32.23908973776901,54.935931496406084,45.51404706491275,28.283365855540538
4.5200000000000005,32.194070147284435,54.910054892674644,45.525935909170634,28.302336147954243
4.525,32.14912534555935,54.88416159843208,45.53776355214935,28.32129007426456
4.53,32.10425531680175,54.85825174766983,45.549530109427906,28.34022759323786
4.535,32.05946004446522,54.83232547412183,45.56123569681157,28.359148663773006
4.54,32.01473951124888,54.8063829112645,45.57288043033191,28.378053244901356
4.545,31.970093699097394,54.780424192316744,45.58446442624677,28.39694129578675
4.55,31.92552258920097,54.75444945023995,45.59598780104027,28.41581277572553
4.555,31.881026161995365,54.728458817738016,45.60745067142285,28.43466764414653
4.5600000000000005,31.836604397161867,54.7024524272573,45.6188531543312,28.45350586061106
4.565,31.792257273627342,54.67643041098668,45.63019536692829,28.47232738481294
4.57,31.747984769564177,54.650392900857504,45.641477426603416,28.491132176578468
4.575,31.7037868623903,54.62434002854361,45.65269945097212,28.509920195866442
4.58,31.659663528769194,54.59827192546131,45.66386155787624,28.52869140276815
4.585,31.61561474460989,54.57218872276945,45.67496386538391,28.54744575750737
4.59,31.571640485066958,54.54609055136931,45.68600649178953,28.566183220440365
4.595,31.527740724540518,54.519977541904694,45.6969895556138,28.584903752055904
4.6000000000000005,31.48391543667622,54.49384982476188,45.7079131756037,28.603607312975242
4.605,31.440164594365296,54.467707530069646,45.71877747073249,28.622293863952116
4.61,31.396488169744487,54.44155078769925,45.72958256019972,28.640963365872764
4.615,31.35288613419609,54.41537972726444,45.74032856343122,28.65961577975591
4.62,31.309358458347955,54.389194478121446,45.751015600079114,28.67825106675278
4.625,31.26590511207347,54.36299516936901,45.7616437900218,28.696869188147076
4.63,31.222526064491564,54.33678192984833,45.77221325336397,28.715470105355006
4.635,31.179221283966726,54.310554888143116,45.7827241104366,28.73405377992526
4.64,31.135990738108976,54.284314172579556,45.79317648179693,28.75262017353903
4.6450000000000005,31.09283439377388,54.258059911226326,45.803570488228516,28.771169248009983
4.65,31.04975221706257,54.231792231894616,45.813906250741184,28.78970096528429
4.655,31.0067441733217,54.20551126213806,45.82418389057104,28.808215287440607
4.66,30.963810227143473,54.17921712925282,45.834403529180484,28.826712176690087
4.665,30.920950342365643,54.15290996027752,45.844565288258195,28.845191595376374
4.67,30.87816448207151,54.12658988199328,45.85466928971914,28.863653505975602
4.675,30.83545260858992,54.100257020923735,45.86471565570457,28.88209787109639
4.68,30.79281468349526,54.07391150333496,45.87470450858201,28.900524653479867
4.6850000000000005,30.75025066760745,54.04755345523556,45.884635970945304,28.918933815999633
4.69,30.707760520991986,54.0211830023766,45.89451016561453,28.937325321661785
4.695,30.665344202959886,53.994800270251666,45.90432721563609,28.955699133604917
4.7,30.623001672067726,53.96840538409679,45.914087244282655,28.974055215100115
4.705,30.580732886117612,53.94199846889054,45.92379037505319,28.99239352955095
4.71,30.538537802157208,53.91557964935393,45.93343673167293,29.010714040493486
4.715,30.49641637647972,53.88914904995048,45.9430264380934,29.029016711596284
4.72,30.4543685646239,53.86270679488622,45.95255961849243,29.047301506660393
4.7250000000000005,30.41239432137403,53.83625300810962,45.962036397274105,29.065568389619354
4.73,30.370493600759975,53.8097878133117,45.971456899068805,29.083817324539194
4.735,30.328666356057113,53.78331133392591,45.98082124873321,29.102048275618436
4.74,30.28691253978637,53.756823693128226,45.99012957135026,29.1202612071881
4.745,30.245232103714233,53.730325013837096,45.999381992229196,29.13845608371169
4.75,30.20362499885272,53.70381541871346,46.00857863690554,29.156632869785206
4.755,30.162091175459402,53.677295030160764,46.017719631141105,29.174791530137128
4.76,30.12063058303739,53.6507639703249,46.02680510092397,29.192932029628448
4.765,30.07924317033534,53.624222361094304,46.035835172468516,29.211054333252633
4.7700000000000005,30.037928885347455,53.597670324099845,46.04480997221541,29.229158406135653
4.775,29.996687675313495,53.571107980714935,46.05372962683158,29.247244213535954
4.78,29.95551948671875,53.54453545205543,46.06259426321028,29.265311720844487
4.785,29.91442426529406,53.51795285897969,46.071404008471006,29.28336089358469
4.79,29.87340195601581,53.491360322088575,46.080158989959564,29.30139169741249
4.795,29.832452503105934,53.464757961725425,46.08885933524804,29.319404098116316
4.8,29.791575850031904,53.438145897976064,46.097505172134795,29.337398061617073
